,redirect_id_sharing_events,url_str_lens,req_header_num,semicolon_in_query,samesite_none_in_header,p3p_in_header,etag_in_header,uuid_in_url,tracking_keywords_next_to_special_char,subdomain_check,special_char_count,req_query_str_lens,req_query_cookies_num,tracking_keywords_in_url,query_url_check,cookie_syncs
51,1,19,16,0,1,1,0,0,1,1,3,52,52,1,0,0
52,1,24,10,0,1,1,0,1,1,1,18,109,109,1,0,0
53,1,22,10,0,1,1,0,1,1,1,15,107,107,1,0,0
54,1,22,10,0,1,1,0,1,1,1,15,107,107,1,0,0
55,1,21,6,0,0,0,0,0,1,1,4,64,64,1,1,0
56,1,20,7,0,0,1,0,0,1,1,10,99,99,1,0,0
57,1,13,10,0,1,1,0,1,1,1,9,62,62,1,0,0
58,1,16,16,0,1,1,0,1,1,1,10,76,76,1,0,0
59,1,12,10,0,1,1,0,0,1,1,12,61,61,1,0,0
60,1,13,7,0,1,0,0,0,1,1,5,33,33,1,0,0
61,0,16,9,0,1,1,0,0,1,1,1,6,6,1,0,0
62,1,19,7,0,0,0,0,0,1,1,7,43,43,1,0,0
63,1,16,11,0,1,1,1,0,1,1,7,46,46,1,0,0
64,1,12,7,0,0,0,0,0,1,1,10,62,62,1,0,0
65,1,20,18,0,1,1,0,0,1,1,11,83,83,1,0,0
66,1,24,8,0,1,1,0,0,1,1,7,48,48,1,0,0
67,1,17,4,0,0,0,0,1,1,1,13,163,163,1,0,0
68,1,24,7,0,1,0,0,1,1,1,12,78,78,1,0,0
69,1,8,16,0,1,1,0,0,0,1,8,84,84,0,0,0
70,1,12,16,0,0,0,0,0,1,1,4,46,46,1,0,1
71,0,27,12,0,1,0,0,1,1,1,35,203,203,1,1,0
72,0,18,7,0,1,0,0,0,1,1,8,31,31,1,0,0
73,1,24,8,0,1,0,0,1,1,1,13,88,88,1,0,0
74,0,16,8,0,0,0,0,0,1,1,6,30,30,1,0,0
75,1,22,9,0,1,1,0,0,1,1,8,65,65,1,0,0
76,1,12,10,0,1,1,0,1,1,1,12,72,72,1,0,0
77,1,24,10,0,1,1,0,1,1,1,16,88,88,1,0,0
78,1,19,13,0,0,1,0,0,0,1,6,67,67,0,0,0
79,0,11,10,0,1,1,0,1,1,1,0,0,0,1,0,0
80,1,17,13,0,1,1,0,1,0,1,19,144,144,1,1,0
81,1,12,8,0,0,0,0,1,1,1,7,48,48,1,0,0
82,1,12,7,0,1,0,0,0,1,1,5,41,41,1,0,0
83,1,22,12,0,1,0,0,1,1,1,10,86,86,1,0,0
84,0,17,4,0,0,0,0,0,1,1,1,36,36,1,0,0
85,1,30,10,0,1,1,0,1,1,1,17,110,110,1,1,0
86,0,19,6,0,0,1,0,0,0,1,6,26,26,0,0,0
87,1,8,6,0,1,1,0,1,0,1,6,39,39,1,0,0
88,0,13,15,0,0,0,0,0,1,1,7,38,38,1,0,0
89,0,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0
90,0,16,13,0,1,1,0,0,1,1,5,25,25,1,0,0
91,1,15,15,0,0,0,0,0,1,1,7,48,48,1,0,0
92,1,8,10,0,1,1,0,1,0,1,7,64,64,0,0,0
93,1,19,7,0,1,0,0,1,1,1,7,44,44,1,0,0
94,1,18,13,0,1,1,0,0,1,1,3,46,46,1,0,1
95,1,8,6,0,0,0,0,0,0,1,3,48,48,0,0,0
96,1,19,8,0,1,1,1,1,1,1,9,51,51,1,0,0
97,1,14,13,0,1,1,0,1,1,1,0,0,0,1,0,0
98,0,14,11,0,1,1,0,1,1,1,23,171,171,1,1,0
99,1,8,11,0,1,1,0,0,0,1,3,68,68,0,0,0
100,1,19,13,0,1,1,0,0,0,1,15,110,110,0,1,0
101,1,8,6,0,0,1,0,1,0,1,7,67,67,0,0,0
102,0,13,13,0,1,1,0,0,1,1,3,17,17,1,0,0
103,0,13,5,0,1,1,0,0,1,1,3,17,17,1,0,0
104,1,8,5,0,1,1,0,0,0,1,4,74,74,0,0,0
105,0,16,13,0,1,1,0,1,1,1,12,99,99,1,1,0
106,1,16,10,0,1,1,0,1,0,1,10,60,60,0,0,1
107,1,16,12,0,0,0,0,0,0,1,4,19,19,0,0,0
108,1,16,10,0,1,0,0,0,0,1,4,43,43,0,0,0
109,0,16,10,0,1,1,0,0,1,1,1,97,97,1,0,0
110,0,10,10,0,1,1,0,0,1,1,8,101,101,1,0,0
111,1,20,10,0,1,1,0,0,1,1,10,199,199,1,0,0
112,1,10,12,0,0,0,0,0,1,1,6,176,176,1,0,0
113,1,18,10,0,1,1,0,0,1,1,2,25,25,1,0,0
114,1,10,8,0,0,0,0,0,1,1,5,27,27,1,0,0
115,1,12,8,0,1,1,0,1,1,1,20,127,127,1,1,1
116,1,16,16,0,1,1,0,1,1,1,10,76,76,1,0,0
117,1,24,10,0,1,1,0,1,1,1,26,148,148,1,1,0
118,0,16,9,0,1,1,0,0,1,1,1,6,6,1,0,0
119,1,23,10,0,1,1,0,1,1,1,15,82,82,1,0,1
120,1,16,9,0,1,1,0,0,1,1,14,85,85,1,1,0
121,1,24,10,0,1,1,0,1,1,1,18,109,109,1,0,0
